url|station|year
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USW00093725&units=standard&startdate=2017-01-01&enddate=2017-12-31&includemetadata=True|USW00093725|2017
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USW00014773&units=standard&startdate=2017-01-01&enddate=2017-12-31&includemetadata=True|USW00014773|2017
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USW00014767&units=standard&startdate=2017-01-01&enddate=2017-12-31&includemetadata=True|USW00014767|2017
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USW00013780&units=standard&startdate=2017-01-01&enddate=2017-12-31&includemetadata=True|USW00013780|2017
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USW00013777&units=standard&startdate=2017-01-01&enddate=2017-12-31&includemetadata=True|USW00013777|2017
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USW00013751&units=standard&startdate=2017-01-01&enddate=2017-12-31&includemetadata=True|USW00013751|2017
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USW00013710&units=standard&startdate=2017-01-01&enddate=2017-12-31&includemetadata=True|USW00013710|2017
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USW00013707&units=standard&startdate=2017-01-01&enddate=2017-12-31&includemetadata=True|USW00013707|2017
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USW00013702&units=standard&startdate=2017-01-01&enddate=2017-12-31&includemetadata=True|USW00013702|2017
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USR0000DPRI&units=standard&startdate=2017-01-01&enddate=2017-12-31&includemetadata=True|USR0000DPRI|2017
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00469605&units=standard&startdate=2017-01-01&enddate=2017-12-31&includemetadata=True|USC00469605|2017
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00469483&units=standard&startdate=2017-01-01&enddate=2017-12-31&includemetadata=True|USC00469483|2017
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00469436&units=standard&startdate=2017-01-01&enddate=2017-12-31&includemetadata=True|USC00469436|2017
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00469368&units=standard&startdate=2017-01-01&enddate=2017-12-31&includemetadata=True|USC00469368|2017
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00469368&units=standard&startdate=2017-01-01&enddate=2017-12-31&includemetadata=True|USC00469368|2017
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00469333&units=standard&startdate=2017-01-01&enddate=2017-12-31&includemetadata=True|USC00469333|2017
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00469078&units=standard&startdate=2017-01-01&enddate=2017-12-31&includemetadata=True|USC00469078|2017
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00469049&units=standard&startdate=2017-01-01&enddate=2017-12-31&includemetadata=True|USC00469049|2017
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00469011&units=standard&startdate=2017-01-01&enddate=2017-12-31&includemetadata=True|USC00469011|2017
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00468905&units=standard&startdate=2017-01-01&enddate=2017-12-31&includemetadata=True|USC00468905|2017
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00468730&units=standard&startdate=2017-01-01&enddate=2017-12-31&includemetadata=True|USC00468730|2017
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00468652&units=standard&startdate=2017-01-01&enddate=2017-12-31&includemetadata=True|USC00468652|2017
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00468608&units=standard&startdate=2017-01-01&enddate=2017-12-31&includemetadata=True|USC00468608|2017
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00468409&units=standard&startdate=2017-01-01&enddate=2017-12-31&includemetadata=True|USC00468409|2017
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00468282&units=standard&startdate=2017-01-01&enddate=2017-12-31&includemetadata=True|USC00468282|2017
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00467920&units=standard&startdate=2017-01-01&enddate=2017-12-31&includemetadata=True|USC00467920|2017
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00467883&units=standard&startdate=2017-01-01&enddate=2017-12-31&includemetadata=True|USC00467883|2017
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00467875&units=standard&startdate=2017-01-01&enddate=2017-12-31&includemetadata=True|USC00467875|2017
