url|station|year|error
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00467614&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00467614|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00467135&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00467135|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00467105&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00467105|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00467055&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00467055|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00467029&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00467029|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00467004&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00467004|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00466991&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00466991|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00466982&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00466982|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00466920&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00466920|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00466743&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00466743|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00466602&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00466602|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00466565&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00466565|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00466467&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00466467|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00466343&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00466343|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00466250&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00466250|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00466207&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00466207|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00466207&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00466207|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00466178&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00466178|2020|
