station_dt_key|date|station|PRCP|SNOW|SNWD|AWND|TMAX|TMIN
GHCND:USW00014734_2016-01-01|2016-01-01T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|12.8|43.0|34.0
GHCND:USW00014734_2016-01-02|2016-01-02T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|9.4|42.0|30.0
GHCND:USW00014734_2016-01-03|2016-01-03T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|10.3|47.0|28.0
GHCND:USW00014734_2016-01-04|2016-01-04T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|17.2|35.0|14.0
GHCND:USW00014734_2016-01-05|2016-01-05T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|9.8|31.0|10.0
GHCND:USW00014734_2016-01-06|2016-01-06T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|5.4|42.0|15.0
GHCND:USW00014734_2016-01-07|2016-01-07T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|3.4|46.0|24.0
GHCND:USW00014734_2016-01-08|2016-01-08T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|8.1|45.0|31.0
GHCND:USW00014734_2016-01-09|2016-01-09T00:00:00|GHCND:USW00014734|0.01|0.0|0.0|6.7|48.0|38.0
GHCND:USW00014734_2016-01-10|2016-01-10T00:00:00|GHCND:USW00014734|1.77|0.0|0.0|15.4|65.0|39.0
GHCND:USW00014734_2016-01-11|2016-01-11T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|16.3|39.0|24.0
GHCND:USW00014734_2016-01-12|2016-01-12T00:00:00|GHCND:USW00014734|0.01|0.0|0.0|8.7|44.0|22.0
GHCND:USW00014734_2016-01-13|2016-01-13T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|18.1|31.0|22.0
GHCND:USW00014734_2016-01-14|2016-01-14T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|8.1|39.0|23.0
GHCND:USW00014734_2016-01-15|2016-01-15T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|3.8|49.0|29.0
GHCND:USW00014734_2016-01-16|2016-01-16T00:00:00|GHCND:USW00014734|0.26|0.0|0.0|11.6|55.0|42.0
GHCND:USW00014734_2016-01-17|2016-01-17T00:00:00|GHCND:USW00014734|0.07|0.7|0.0|9.4|42.0|29.0
GHCND:USW00014734_2016-01-18|2016-01-18T00:00:00|GHCND:USW00014734|0.03|0.5|1.2|17.2|30.0|18.0
GHCND:USW00014734_2016-01-19|2016-01-19T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|19.0|31.0|16.0
GHCND:USW00014734_2016-01-20|2016-01-20T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|9.4|39.0|27.0
GHCND:USW00014734_2016-01-21|2016-01-21T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|13.4|38.0|26.0
GHCND:USW00014734_2016-01-22|2016-01-22T00:00:00|GHCND:USW00014734|0.03|0.3|0.0|10.3|30.0|20.0
GHCND:USW00014734_2016-01-23|2016-01-23T00:00:00|GHCND:USW00014734|1.81|24.0|7.1|22.8|27.0|23.0
GHCND:USW00014734_2016-01-24|2016-01-24T00:00:00|GHCND:USW00014734|0.01|0.2|20.1|9.4|36.0|17.0
GHCND:USW00014734_2016-01-25|2016-01-25T00:00:00|GHCND:USW00014734|0.0|0.0|18.9|2.5|37.0|18.0
GHCND:USW00014734_2016-01-26|2016-01-26T00:00:00|GHCND:USW00014734|0.0|0.0|16.9|5.8|46.0|25.0
GHCND:USW00014734_2016-01-27|2016-01-27T00:00:00|GHCND:USW00014734|0.01|0.0|14.2|9.6|45.0|32.0
GHCND:USW00014734_2016-01-28|2016-01-28T00:00:00|GHCND:USW00014734|0.0|0.0|9.8|4.0|42.0|24.0
GHCND:USW00014734_2016-01-29|2016-01-29T00:00:00|GHCND:USW00014734|0.0|0.0|9.1|10.3|41.0|30.0
GHCND:USW00014734_2016-01-30|2016-01-30T00:00:00|GHCND:USW00014734|0.0|0.0|7.9|8.3|39.0|25.0
GHCND:USW00014734_2016-01-31|2016-01-31T00:00:00|GHCND:USW00014734|0.0|0.0|7.1|4.9|54.0|30.0
GHCND:USW00014734_2016-02-01|2016-02-01T00:00:00|GHCND:USW00014734|0.02|0.0|3.9|8.1|58.0|36.0
GHCND:USW00014734_2016-02-02|2016-02-02T00:00:00|GHCND:USW00014734|0.0|0.0|1.2|3.8|51.0|32.0
GHCND:USW00014734_2016-02-03|2016-02-03T00:00:00|GHCND:USW00014734|0.61|0.0|0.0|6.5|58.0|39.0
GHCND:USW00014734_2016-02-04|2016-02-04T00:00:00|GHCND:USW00014734|0.01|0.0|0.0|9.4|56.0|42.0
GHCND:USW00014734_2016-02-05|2016-02-05T00:00:00|GHCND:USW00014734|0.48|2.8|1.2|12.5|43.0|31.0
GHCND:USW00014734_2016-02-06|2016-02-06T00:00:00|GHCND:USW00014734|0.0|0.0|1.2|7.2|41.0|25.0
GHCND:USW00014734_2016-02-07|2016-02-07T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|4.7|47.0|28.0
GHCND:USW00014734_2016-02-08|2016-02-08T00:00:00|GHCND:USW00014734|0.02|0.2|0.0|12.8|40.0|29.0
GHCND:USW00014734_2016-02-09|2016-02-09T00:00:00|GHCND:USW00014734|0.02|0.2|0.0|6.0|36.0|27.0
GHCND:USW00014734_2016-02-10|2016-02-10T00:00:00|GHCND:USW00014734|0.02|0.3|0.0|11.6|42.0|31.0
GHCND:USW00014734_2016-02-11|2016-02-11T00:00:00|GHCND:USW00014734|0.0|0.2|0.0|19.9|31.0|19.0
GHCND:USW00014734_2016-02-12|2016-02-12T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|9.2|27.0|15.0
GHCND:USW00014734_2016-02-13|2016-02-13T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|19.7|24.0|7.0
GHCND:USW00014734_2016-02-14|2016-02-14T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|11.6|18.0|0.0
GHCND:USW00014734_2016-02-15|2016-02-15T00:00:00|GHCND:USW00014734|0.42|1.5|0.0|6.9|33.0|10.0
GHCND:USW00014734_2016-02-16|2016-02-16T00:00:00|GHCND:USW00014734|0.99|0.0|1.2|10.5|55.0|33.0
GHCND:USW00014734_2016-02-17|2016-02-17T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|9.6|41.0|32.0
GHCND:USW00014734_2016-02-18|2016-02-18T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|13.4|38.0|27.0
GHCND:USW00014734_2016-02-19|2016-02-19T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|6.9|38.0|19.0
GHCND:USW00014734_2016-02-20|2016-02-20T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|11.9|64.0|38.0
GHCND:USW00014734_2016-02-21|2016-02-21T00:00:00|GHCND:USW00014734|0.08|0.0|0.0|5.6|56.0|38.0
GHCND:USW00014734_2016-02-22|2016-02-22T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|6.9|54.0|35.0
GHCND:USW00014734_2016-02-23|2016-02-23T00:00:00|GHCND:USW00014734|0.27|0.0|0.0|12.8|42.0|34.0
GHCND:USW00014734_2016-02-24|2016-02-24T00:00:00|GHCND:USW00014734|1.02|0.0|0.0|11.4|63.0|36.0
GHCND:USW00014734_2016-02-25|2016-02-25T00:00:00|GHCND:USW00014734|0.05|0.0|0.0|18.6|64.0|35.0
GHCND:USW00014734_2016-02-26|2016-02-26T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|17.9|39.0|28.0
GHCND:USW00014734_2016-02-27|2016-02-27T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|9.6|43.0|24.0
GHCND:USW00014734_2016-02-28|2016-02-28T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|12.3|62.0|35.0
GHCND:USW00014734_2016-02-29|2016-02-29T00:00:00|GHCND:USW00014734|0.03|0.0|0.0|13.6|62.0|42.0
GHCND:USW00014734_2016-03-01|2016-03-01T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|9.4|53.0|39.0
GHCND:USW00014734_2016-03-02|2016-03-02T00:00:00|GHCND:USW00014734|0.12|0.0|0.0|19.0|57.0|29.0
GHCND:USW00014734_2016-03-03|2016-03-03T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|9.4|38.0|26.0
GHCND:USW00014734_2016-03-04|2016-03-04T00:00:00|GHCND:USW00014734|0.12|1.4|1.2|11.2|40.0|29.0
GHCND:USW00014734_2016-03-05|2016-03-05T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|5.8|43.0|28.0
GHCND:USW00014734_2016-03-06|2016-03-06T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|4.9|47.0|27.0
GHCND:USW00014734_2016-03-07|2016-03-07T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|10.5|63.0|31.0
GHCND:USW00014734_2016-03-08|2016-03-08T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|3.8|65.0|45.0
GHCND:USW00014734_2016-03-09|2016-03-09T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|6.9|82.0|42.0
GHCND:USW00014734_2016-03-10|2016-03-10T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|8.5|81.0|59.0
GHCND:USW00014734_2016-03-11|2016-03-11T00:00:00|GHCND:USW00014734|0.03|0.0|0.0|11.4|69.0|48.0
GHCND:USW00014734_2016-03-12|2016-03-12T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|8.1|60.0|38.0
GHCND:USW00014734_2016-03-13|2016-03-13T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|6.5|62.0|49.0
GHCND:USW00014734_2016-03-14|2016-03-14T00:00:00|GHCND:USW00014734|0.52|0.0|0.0|14.3|52.0|41.0
GHCND:USW00014734_2016-03-15|2016-03-15T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|9.4|57.0|45.0
GHCND:USW00014734_2016-03-16|2016-03-16T00:00:00|GHCND:USW00014734|0.03|0.0|0.0|3.6|64.0|46.0
GHCND:USW00014734_2016-03-17|2016-03-17T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|7.8|66.0|44.0
GHCND:USW00014734_2016-03-18|2016-03-18T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|14.8|62.0|41.0
GHCND:USW00014734_2016-03-19|2016-03-19T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|6.7|47.0|35.0
GHCND:USW00014734_2016-03-20|2016-03-20T00:00:00|GHCND:USW00014734|0.07|0.2|0.0|11.0|44.0|33.0
GHCND:USW00014734_2016-03-21|2016-03-21T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|14.3|53.0|33.0
GHCND:USW00014734_2016-03-22|2016-03-22T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|12.1|58.0|34.0
GHCND:USW00014734_2016-03-23|2016-03-23T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|10.3|74.0|45.0
GHCND:USW00014734_2016-03-24|2016-03-24T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|9.6|56.0|44.0
GHCND:USW00014734_2016-03-25|2016-03-25T00:00:00|GHCND:USW00014734|0.11|0.0|0.0|11.4|74.0|46.0
GHCND:USW00014734_2016-03-26|2016-03-26T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|9.2|54.0|38.0
GHCND:USW00014734_2016-03-27|2016-03-27T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|6.9|51.0|44.0
GHCND:USW00014734_2016-03-27|2016-03-27T00:00:00|GHCND:USW00014734||||||
GHCND:USW00014734_2016-03-28|2016-03-28T00:00:00|GHCND:USW00014734|0.38|0.0|0.0|15.2|65.0|43.0
GHCND:USW00014734_2016-03-29|2016-03-29T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|21.0|56.0|40.0
GHCND:USW00014734_2016-03-30|2016-03-30T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|8.5|55.0|33.0
GHCND:USW00014734_2016-03-31|2016-03-31T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|13.9|74.0|46.0
GHCND:USW00014734_2016-04-01|2016-04-01T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|13.4|80.0|62.0
GHCND:USW00014734_2016-04-02|2016-04-02T00:00:00|GHCND:USW00014734|0.16|0.0|0.0|9.8|64.0|42.0
GHCND:USW00014734_2016-04-03|2016-04-03T00:00:00|GHCND:USW00014734|0.03|0.0|0.0|19.9|45.0|35.0
GHCND:USW00014734_2016-04-04|2016-04-04T00:00:00|GHCND:USW00014734|0.44|0.0|0.0|10.5|44.0|30.0
GHCND:USW00014734_2016-04-05|2016-04-05T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|16.3|44.0|26.0
GHCND:USW00014734_2016-04-06|2016-04-06T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|8.5|49.0|27.0
GHCND:USW00014734_2016-04-07|2016-04-07T00:00:00|GHCND:USW00014734|0.09|0.0|0.0|12.5|61.0|46.0
GHCND:USW00014734_2016-04-08|2016-04-08T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|14.1|50.0|38.0
GHCND:USW00014734_2016-04-09|2016-04-09T00:00:00|GHCND:USW00014734|0.09|0.0|0.0|10.7|44.0|32.0
GHCND:USW00014734_2016-04-10|2016-04-10T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|11.2|52.0|31.0
GHCND:USW00014734_2016-04-11|2016-04-11T00:00:00|GHCND:USW00014734|0.01|0.0|0.0|10.3|68.0|42.0
GHCND:USW00014734_2016-04-12|2016-04-12T00:00:00|GHCND:USW00014734|0.13|0.0|0.0|12.3|61.0|44.0
GHCND:USW00014734_2016-04-13|2016-04-13T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|7.4|58.0|39.0
GHCND:USW00014734_2016-04-14|2016-04-14T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|7.2|62.0|41.0
GHCND:USW00014734_2016-04-15|2016-04-15T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|4.7|65.0|39.0
