station_dt_key|date|station|PRCP|SNOW|SNWD|AWND|TMAX|TMIN
GHCND:USW00014734_2017-01-01|2017-01-01T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|9.4|50.0|33.0
GHCND:USW00014734_2017-01-02|2017-01-02T00:00:00|GHCND:USW00014734|0.29|0.0|0.0|8.7|42.0|32.0
GHCND:USW00014734_2017-01-03|2017-01-03T00:00:00|GHCND:USW00014734|0.43|0.0|0.0|12.3|44.0|39.0
GHCND:USW00014734_2017-01-04|2017-01-04T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|15.0|54.0|33.0
GHCND:USW00014734_2017-01-05|2017-01-05T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|13.6|33.0|26.0
GHCND:USW00014734_2017-01-06|2017-01-06T00:00:00|GHCND:USW00014734|0.06|1.6|1.2|8.7|34.0|25.0
GHCND:USW00014734_2017-01-07|2017-01-07T00:00:00|GHCND:USW00014734|0.32|5.8|0.0|14.1|26.0|20.0
GHCND:USW00014734_2017-01-08|2017-01-08T00:00:00|GHCND:USW00014734|0.0|0.0|5.1|14.3|26.0|15.0
GHCND:USW00014734_2017-01-09|2017-01-09T00:00:00|GHCND:USW00014734|0.0|0.0|3.1|7.4|23.0|12.0
GHCND:USW00014734_2017-01-10|2017-01-10T00:00:00|GHCND:USW00014734|0.0|0.0|2.0|4.0|44.0|15.0
GHCND:USW00014734_2017-01-11|2017-01-11T00:00:00|GHCND:USW00014734|0.57|0.0|0.0|8.7|53.0|40.0
GHCND:USW00014734_2017-01-12|2017-01-12T00:00:00|GHCND:USW00014734|0.09|0.0|0.0|13.6|67.0|46.0
GHCND:USW00014734_2017-01-13|2017-01-13T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|14.5|61.0|33.0
GHCND:USW00014734_2017-01-14|2017-01-14T00:00:00|GHCND:USW00014734|0.1|1.4|0.0|5.4|34.0|28.0
GHCND:USW00014734_2017-01-15|2017-01-15T00:00:00|GHCND:USW00014734|0.0|0.0|1.2|7.2|41.0|29.0
GHCND:USW00014734_2017-01-16|2017-01-16T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|6.3|44.0|25.0
GHCND:USW00014734_2017-01-17|2017-01-17T00:00:00|GHCND:USW00014734|0.53|0.0|0.0|6.3|41.0|38.0
GHCND:USW00014734_2017-01-18|2017-01-18T00:00:00|GHCND:USW00014734|0.04|0.0|0.0|9.4|42.0|38.0
GHCND:USW00014734_2017-01-19|2017-01-19T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|6.7|50.0|37.0
GHCND:USW00014734_2017-01-20|2017-01-20T00:00:00|GHCND:USW00014734|0.14|0.0|0.0|3.6|45.0|40.0
GHCND:USW00014734_2017-01-21|2017-01-21T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|7.4|48.0|42.0
GHCND:USW00014734_2017-01-22|2017-01-22T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|7.6|50.0|44.0
GHCND:USW00014734_2017-01-23|2017-01-23T00:00:00|GHCND:USW00014734|1.24|0.0|0.0|22.1|46.0|37.0
GHCND:USW00014734_2017-01-24|2017-01-24T00:00:00|GHCND:USW00014734|0.78|0.0|0.0|18.3|41.0|36.0
GHCND:USW00014734_2017-01-25|2017-01-25T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|13.0|52.0|37.0
GHCND:USW00014734_2017-01-26|2017-01-26T00:00:00|GHCND:USW00014734|0.03|0.0|0.0|13.2|56.0|42.0
GHCND:USW00014734_2017-01-27|2017-01-27T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|18.8|46.0|35.0
GHCND:USW00014734_2017-01-28|2017-01-28T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|13.6|39.0|33.0
GHCND:USW00014734_2017-01-29|2017-01-29T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|10.3|45.0|30.0
GHCND:USW00014734_2017-01-30|2017-01-30T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|10.5|40.0|29.0
GHCND:USW00014734_2017-01-31|2017-01-31T00:00:00|GHCND:USW00014734|0.03|0.5|0.0|5.1|32.0|25.0
GHCND:USW00014734_2017-02-01|2017-02-01T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|11.6|49.0|29.0
GHCND:USW00014734_2017-02-02|2017-02-02T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|11.4|47.0|31.0
GHCND:USW00014734_2017-02-03|2017-02-03T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|11.0|35.0|25.0
GHCND:USW00014734_2017-02-04|2017-02-04T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|13.2|36.0|21.0
GHCND:USW00014734_2017-02-05|2017-02-05T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|9.4|42.0|28.0
GHCND:USW00014734_2017-02-06|2017-02-06T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|7.6|51.0|37.0
GHCND:USW00014734_2017-02-07|2017-02-07T00:00:00|GHCND:USW00014734|0.27|0.0|0.0|8.3|41.0|33.0
GHCND:USW00014734_2017-02-08|2017-02-08T00:00:00|GHCND:USW00014734|0.04|0.0|0.0|8.9|65.0|39.0
GHCND:USW00014734_2017-02-09|2017-02-09T00:00:00|GHCND:USW00014734|0.81|7.8|2.0|20.8|43.0|19.0
