station_dt_key|date|station|PRCP|SNOW|SNWD|AWND|TMAX|TMIN
GHCND:USW00014734_2020-01-01|2020-01-01T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|13.6|41.0|29.0
GHCND:USW00014734_2020-01-02|2020-01-02T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|7.4|50.0|26.0
GHCND:USW00014734_2020-01-03|2020-01-03T00:00:00|GHCND:USW00014734|0.11|0.0|0.0|6.3|48.0|44.0
GHCND:USW00014734_2020-01-04|2020-01-04T00:00:00|GHCND:USW00014734|0.21|0.0|0.0|5.8|52.0|41.0
GHCND:USW00014734_2020-01-05|2020-01-05T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|16.3|45.0|35.0
GHCND:USW00014734_2020-01-06|2020-01-06T00:00:00|GHCND:USW00014734|0.03|0.9|1.2|10.3|46.0|31.0
GHCND:USW00014734_2020-01-07|2020-01-07T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|7.2|44.0|33.0
GHCND:USW00014734_2020-01-08|2020-01-08T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|17.0|45.0|28.0
GHCND:USW00014734_2020-01-09|2020-01-09T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|8.5|34.0|23.0
GHCND:USW00014734_2020-01-10|2020-01-10T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|8.5|55.0|30.0
GHCND:USW00014734_2020-01-11|2020-01-11T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|12.3|70.0|48.0
GHCND:USW00014734_2020-01-12|2020-01-12T00:00:00|GHCND:USW00014734|0.04|0.0|0.0|19.7|69.0|44.0
GHCND:USW00014734_2020-01-13|2020-01-13T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|6.5|46.0|35.0
GHCND:USW00014734_2020-01-14|2020-01-14T00:00:00|GHCND:USW00014734|0.02|0.0|0.0|4.5|46.0|36.0
GHCND:USW00014734_2020-01-15|2020-01-15T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|6.9|53.0|41.0
GHCND:USW00014734_2020-01-16|2020-01-16T00:00:00|GHCND:USW00014734|0.05|0.0|0.0|16.8|50.0|34.0
GHCND:USW00014734_2020-01-17|2020-01-17T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|17.2|34.0|21.0
GHCND:USW00014734_2020-01-18|2020-01-18T00:00:00|GHCND:USW00014734|0.31|1.8|0.0|7.8|36.0|20.0
