forecast_execution_date_ept,forecast_date,region,total_outages_mw,planned_outages_mw,maintenance_outages_mw,forced_outages_mw
1/29/2020 0:00,1/29/2020 0:00,PJM RTO,23491,2818,11390,9283
1/29/2020 0:00,1/30/2020 0:00,Mid Atlantic - Dominion,7324,2416,3388,1520
1/29/2020 0:00,1/30/2020 0:00,Western,13643,402,9104,4137
1/29/2020 0:00,1/30/2020 0:00,PJM RTO,20967,2818,12492,5657
1/29/2020 0:00,1/31/2020 0:00,Mid Atlantic - Dominion,6906,2416,3000,1490
1/29/2020 0:00,1/31/2020 0:00,Western,12744,402,8218,4124
1/29/2020 0:00,1/31/2020 0:00,PJM RTO,19650,2818,11218,5614
1/29/2020 0:00,2/1/2020 0:00,Mid Atlantic - Dominion,5405,2416,1538,1451
1/29/2020 0:00,2/1/2020 0:00,Western,12865,920,8670,3275
1/29/2020 0:00,2/1/2020 0:00,PJM RTO,18270,3336,10208,4726
1/29/2020 0:00,2/2/2020 0:00,Mid Atlantic - Dominion,4767,2460,856,1451
1/29/2020 0:00,2/2/2020 0:00,Western,10473,920,6900,2653
1/29/2020 0:00,2/2/2020 0:00,PJM RTO,15240,3380,7756,4104
1/29/2020 0:00,2/3/2020 0:00,Mid Atlantic - Dominion,4594,2618,755,1221
1/29/2020 0:00,2/3/2020 0:00,Western,11090,1670,6767,2653
1/29/2020 0:00,2/3/2020 0:00,PJM RTO,15684,4288,7522,3874
1/29/2020 0:00,2/4/2020 0:00,Mid Atlantic - Dominion,4491,2584,686,1221
1/29/2020 0:00,2/4/2020 0:00,Western,10537,1670,6214,2653
1/29/2020 0:00,2/4/2020 0:00,PJM RTO,15028,4254,6900,3874
1/28/2020 0:00,1/28/2020 0:00,Mid Atlantic - Dominion,6862,2796,2235,1831
1/28/2020 0:00,1/28/2020 0:00,Western,14217,402,8342,5473
1/28/2020 0:00,1/28/2020 0:00,PJM RTO,21079,3198,10577,7304
1/28/2020 0:00,1/29/2020 0:00,Mid Atlantic - Dominion,7193,2796,2885,1512
1/28/2020 0:00,1/29/2020 0:00,Western,12604,402,9124,3078
1/28/2020 0:00,1/29/2020 0:00,PJM RTO,19797,3198,12009,4590
1/28/2020 0:00,1/30/2020 0:00,Mid Atlantic - Dominion,6623,2796,2589,1238
1/28/2020 0:00,1/30/2020 0:00,Western,10036,402,7514,2120
1/28/2020 0:00,1/30/2020 0:00,PJM RTO,16659,3198,10103,3358
1/28/2020 0:00,1/31/2020 0:00,Mid Atlantic - Dominion,6739,2796,2705,1238
1/28/2020 0:00,1/31/2020 0:00,Western,9967,402,7563,2002
1/28/2020 0:00,1/31/2020 0:00,PJM RTO,16706,3198,10268,3240
1/28/2020 0:00,2/1/2020 0:00,Mid Atlantic - Dominion,5518,2796,1506,1216
1/28/2020 0:00,2/1/2020 0:00,Western,9287,920,6463,1904
1/28/2020 0:00,2/1/2020 0:00,PJM RTO,14805,3716,7969,3120
1/28/2020 0:00,2/2/2020 0:00,Mid Atlantic - Dominion,4897,2840,841,1216
1/28/2020 0:00,2/2/2020 0:00,Western,6917,920,4715,1282
1/28/2020 0:00,2/2/2020 0:00,PJM RTO,11814,3760,5556,2498
1/28/2020 0:00,2/3/2020 0:00,Mid Atlantic - Dominion,4936,2998,722,1216
1/28/2020 0:00,2/3/2020 0:00,Western,6024,1670,3072,1282
1/28/2020 0:00,2/3/2020 0:00,PJM RTO,10960,4668,3794,2498
1/27/2020 0:00,1/27/2020 0:00,Mid Atlantic - Dominion,7862,2796,3183,1883
1/27/2020 0:00,1/27/2020 0:00,Western,13545,402,8372,4771
1/27/2020 0:00,1/27/2020 0:00,PJM RTO,21407,3198,11555,6654
1/27/2020 0:00,1/28/2020 0:00,Mid Atlantic - Dominion,7885,2796,3285,1804
1/27/2020 0:00,1/28/2020 0:00,Western,10542,402,7781,2359
1/27/2020 0:00,1/28/2020 0:00,PJM RTO,18427,3198,11066,4163
1/27/2020 0:00,1/29/2020 0:00,Mid Atlantic - Dominion,6607,2796,2566,1245
1/27/2020 0:00,1/29/2020 0:00,Western,10562,402,7801,2359
1/27/2020 0:00,1/29/2020 0:00,PJM RTO,17169,3198,10367,3604
1/27/2020 0:00,1/30/2020 0:00,Mid Atlantic - Dominion,6153,2796,2126,1231
1/27/2020 0:00,1/30/2020 0:00,Western,8222,402,5733,2087
1/27/2020 0:00,1/30/2020 0:00,PJM RTO,14375,3198,7859,3318
1/27/2020 0:00,1/31/2020 0:00,Mid Atlantic - Dominion,6203,2796,2176,1231
1/27/2020 0:00,1/31/2020 0:00,Western,8156,402,5785,1969
1/27/2020 0:00,1/31/2020 0:00,PJM RTO,14359,3198,7961,3200
1/27/2020 0:00,2/1/2020 0:00,Mid Atlantic - Dominion,4768,2785,819,1164
1/27/2020 0:00,2/1/2020 0:00,Western,9263,920,6480,1863
1/27/2020 0:00,2/1/2020 0:00,PJM RTO,14031,3705,7299,3027
1/27/2020 0:00,2/2/2020 0:00,Mid Atlantic - Dominion,4661,2829,668,1164
1/27/2020 0:00,2/2/2020 0:00,Western,6893,920,4732,1241
1/27/2020 0:00,2/2/2020 0:00,PJM RTO,11554,3749,5400,2405
1/26/2020 0:00,1/26/2020 0:00,Mid Atlantic - Dominion,6947,2796,2244,1907
1/26/2020 0:00,1/26/2020 0:00,Western,11147,402,6815,3930
1/26/2020 0:00,1/26/2020 0:00,PJM RTO,18094,3198,9059,5837
1/26/2020 0:00,1/27/2020 0:00,Mid Atlantic - Dominion,9120,2796,4477,1847
1/26/2020 0:00,1/27/2020 0:00,Western,10645,402,8026,2217
1/26/2020 0:00,1/27/2020 0:00,PJM RTO,19765,3198,12503,4064
