station_dt_key|date|station|PRCP|SNOW|SNWD|AWND|TMAX|TMIN
GHCND:USW00014734_2018-01-01|2018-01-01T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|12.8|20.0|6.0
GHCND:USW00014734_2018-01-02|2018-01-02T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|14.3|27.0|12.0
GHCND:USW00014734_2018-01-03|2018-01-03T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|5.8|30.0|10.0
GHCND:USW00014734_2018-01-04|2018-01-04T00:00:00|GHCND:USW00014734|0.71|8.4|0.0|22.8|29.0|18.0
GHCND:USW00014734_2018-01-05|2018-01-05T00:00:00|GHCND:USW00014734|0.0|0.0|7.1|22.6|18.0|9.0
GHCND:USW00014734_2018-01-06|2018-01-06T00:00:00|GHCND:USW00014734|0.0|0.0|7.1|16.8|14.0|6.0
GHCND:USW00014734_2018-01-07|2018-01-07T00:00:00|GHCND:USW00014734|0.0|0.0|5.9|10.5|18.0|4.0
GHCND:USW00014734_2018-01-08|2018-01-08T00:00:00|GHCND:USW00014734|0.0|0.0|5.9|10.7|31.0|16.0
GHCND:USW00014734_2018-01-09|2018-01-09T00:00:00|GHCND:USW00014734|0.0|0.0|5.1|11.2|44.0|23.0
GHCND:USW00014734_2018-01-10|2018-01-10T00:00:00|GHCND:USW00014734|0.0|0.0|3.1|4.0|40.0|24.0
GHCND:USW00014734_2018-01-11|2018-01-11T00:00:00|GHCND:USW00014734|0.0|0.0|1.2|1.3|51.0|36.0
GHCND:USW00014734_2018-01-12|2018-01-12T00:00:00|GHCND:USW00014734|0.55|0.0|0.0|8.5|64.0|42.0
GHCND:USW00014734_2018-01-13|2018-01-13T00:00:00|GHCND:USW00014734|0.06|0.0|0.0|17.7|61.0|18.0
GHCND:USW00014734_2018-01-14|2018-01-14T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|14.3|27.0|15.0
GHCND:USW00014734_2018-01-15|2018-01-15T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|10.5|32.0|15.0
GHCND:USW00014734_2018-01-16|2018-01-16T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|5.4|38.0|22.0
GHCND:USW00014734_2018-01-17|2018-01-17T00:00:00|GHCND:USW00014734|0.23|1.0|0.0|10.5|36.0|21.0
GHCND:USW00014734_2018-01-18|2018-01-18T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|11.4|35.0|17.0
GHCND:USW00014734_2018-01-19|2018-01-19T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|8.5|39.0|20.0
GHCND:USW00014734_2018-01-20|2018-01-20T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|12.3|55.0|32.0
GHCND:USW00014734_2018-01-21|2018-01-21T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|4.9|55.0|34.0
GHCND:USW00014734_2018-01-22|2018-01-22T00:00:00|GHCND:USW00014734|0.01|0.0|0.0|5.8|51.0|39.0
GHCND:USW00014734_2018-01-23|2018-01-23T00:00:00|GHCND:USW00014734|0.25|0.0|0.0|10.7|62.0|39.0
GHCND:USW00014734_2018-01-24|2018-01-24T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|15.2|44.0|27.0
GHCND:USW00014734_2018-01-25|2018-01-25T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|13.9|36.0|23.0
GHCND:USW00014734_2018-01-26|2018-01-26T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|4.9|40.0|20.0
GHCND:USW00014734_2018-01-27|2018-01-27T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|9.8|57.0|28.0
GHCND:USW00014734_2018-01-28|2018-01-28T00:00:00|GHCND:USW00014734|0.2|0.0|0.0|6.7|54.0|42.0
GHCND:USW00014734_2018-01-29|2018-01-29T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|12.1|45.0|35.0
GHCND:USW00014734_2018-01-30|2018-01-30T00:00:00|GHCND:USW00014734|0.05|0.7|1.2|12.3|37.0|24.0
GHCND:USW00014734_2018-01-31|2018-01-31T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|10.7|33.0|17.0
GHCND:USW00014734_2018-02-01|2018-02-01T00:00:00|GHCND:USW00014734|0.02|0.0|0.0|6.3|45.0|31.0
GHCND:USW00014734_2018-02-02|2018-02-02T00:00:00|GHCND:USW00014734|0.14|0.0|0.0|18.3|41.0|17.0
GHCND:USW00014734_2018-02-03|2018-02-03T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|11.4|32.0|14.0
GHCND:USW00014734_2018-02-04|2018-02-04T00:00:00|GHCND:USW00014734|0.81|0.0|0.0|7.4|41.0|29.0
GHCND:USW00014734_2018-02-05|2018-02-05T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|12.1|41.0|24.0
GHCND:USW00014734_2018-02-06|2018-02-06T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|4.5|38.0|24.0
GHCND:USW00014734_2018-02-07|2018-02-07T00:00:00|GHCND:USW00014734|0.94|0.6|0.0|9.6|45.0|24.0
GHCND:USW00014734_2018-02-08|2018-02-08T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|12.3|35.0|24.0
GHCND:USW00014734_2018-02-09|2018-02-09T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|5.6|36.0|22.0
GHCND:USW00014734_2018-02-10|2018-02-10T00:00:00|GHCND:USW00014734|0.64|0.0|0.0|1.1|47.0|34.0
GHCND:USW00014734_2018-02-11|2018-02-11T00:00:00|GHCND:USW00014734|1.19|0.0|0.0|5.6|64.0|45.0
GHCND:USW00014734_2018-02-12|2018-02-12T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|14.1|64.0|32.0
GHCND:USW00014734_2018-02-13|2018-02-13T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|8.7|38.0|26.0
GHCND:USW00014734_2018-02-14|2018-02-14T00:00:00|GHCND:USW00014734|0.05|0.0|0.0|8.5|55.0|33.0
GHCND:USW00014734_2018-02-15|2018-02-15T00:00:00|GHCND:USW00014734|0.11|0.0|0.0|7.8|60.0|44.0
GHCND:USW00014734_2018-02-16|2018-02-16T00:00:00|GHCND:USW00014734|0.06|0.0|0.0|13.6|59.0|36.0
GHCND:USW00014734_2018-02-17|2018-02-17T00:00:00|GHCND:USW00014734|0.48|2.8|0.0|8.5|39.0|25.0
GHCND:USW00014734_2018-02-18|2018-02-18T00:00:00|GHCND:USW00014734|0.0|0.0|2.0|8.7|46.0|33.0
GHCND:USW00014734_2018-02-19|2018-02-19T00:00:00|GHCND:USW00014734|0.06|0.0|0.0|2.9|49.0|32.0
GHCND:USW00014734_2018-02-20|2018-02-20T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|8.5|69.0|46.0
GHCND:USW00014734_2018-02-21|2018-02-21T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|13.4|80.0|56.0
GHCND:USW00014734_2018-02-22|2018-02-22T00:00:00|GHCND:USW00014734|0.15|0.0|0.0|13.2|59.0|37.0
GHCND:USW00014734_2018-02-23|2018-02-23T00:00:00|GHCND:USW00014734|0.05|0.0|0.0|6.7|41.0|37.0
GHCND:USW00014734_2018-02-24|2018-02-24T00:00:00|GHCND:USW00014734|0.06|0.0|0.0|7.6|56.0|41.0
GHCND:USW00014734_2018-02-25|2018-02-25T00:00:00|GHCND:USW00014734|0.98|0.0|0.0|8.3|44.0|41.0
GHCND:USW00014734_2018-02-26|2018-02-26T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|8.7|54.0|41.0
GHCND:USW00014734_2018-02-27|2018-02-27T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|6.7|59.0|36.0
GHCND:USW00014734_2018-02-28|2018-02-28T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|8.7|62.0|36.0
GHCND:USW00014734_2018-03-01|2018-03-01T00:00:00|GHCND:USW00014734|0.51|0.0|0.0|6.9|61.0|46.0
GHCND:USW00014734_2018-03-02|2018-03-02T00:00:00|GHCND:USW00014734|1.89|0.0|0.0|24.4|46.0|34.0
GHCND:USW00014734_2018-03-03|2018-03-03T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|21.3|48.0|36.0
GHCND:USW00014734_2018-03-04|2018-03-04T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|19.0|47.0|34.0
GHCND:USW00014734_2018-03-05|2018-03-05T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|15.7|46.0|33.0
GHCND:USW00014734_2018-03-06|2018-03-06T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|7.6|47.0|29.0
GHCND:USW00014734_2018-03-07|2018-03-07T00:00:00|GHCND:USW00014734|0.85|4.6|0.0|16.1|40.0|32.0
GHCND:USW00014734_2018-03-08|2018-03-08T00:00:00|GHCND:USW00014734|0.0|0.0|3.1|11.6|40.0|32.0
GHCND:USW00014734_2018-03-09|2018-03-09T00:00:00|GHCND:USW00014734|0.0|0.0|1.2|16.6|43.0|29.0
GHCND:USW00014734_2018-03-10|2018-03-10T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|13.2|43.0|31.0
GHCND:USW00014734_2018-03-11|2018-03-11T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|9.4|47.0|30.0
GHCND:USW00014734_2018-03-12|2018-03-12T00:00:00|GHCND:USW00014734|0.04|0.0|0.0|10.5|45.0|30.0
GHCND:USW00014734_2018-03-13|2018-03-13T00:00:00|GHCND:USW00014734|0.26|0.3|0.0|15.7|43.0|33.0
GHCND:USW00014734_2018-03-14|2018-03-14T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|19.9|43.0|31.0
GHCND:USW00014734_2018-03-15|2018-03-15T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|17.0|50.0|32.0
GHCND:USW00014734_2018-03-16|2018-03-16T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|16.8|44.0|30.0
GHCND:USW00014734_2018-03-17|2018-03-17T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|15.0|51.0|27.0
GHCND:USW00014734_2018-03-18|2018-03-18T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|11.4|46.0|30.0
GHCND:USW00014734_2018-03-19|2018-03-19T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|8.7|48.0|29.0
GHCND:USW00014734_2018-03-20|2018-03-20T00:00:00|GHCND:USW00014734|0.0|0.0|0.0|12.3|40.0|30.0
GHCND:USW00014734_2018-03-21|2018-03-21T00:00:00|GHCND:USW00014734|0.77|7.9|0.0|16.6|40.0|31.0
GHCND:USW00014734_2018-03-22|2018-03-22T00:00:00|GHCND:USW00014734|0.05|0.4|7.9|13.9|51.0|33.0
GHCND:USW00014734_2018-03-23|2018-03-23T00:00:00|GHCND:USW00014734|0.0|0.0|1.2|12.8|52.0|35.0
